Team,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,SALARY
MIL,A.J. Green,25,SG,73,7,22.7,2.5,5.8,0.429,2.1,5,0.427,0.4,0.8,0.443,0.612,0.3,0.4,0.815,0.2,2.1,2.4,1.5,0.5,0.1,0.5,2.2,7.4,,2120693
TOR,A.J. Lawson,24,SG,26,2,18.7,3.1,7.3,0.421,1.3,3.9,0.327,1.8,3.4,0.528,0.508,1.7,2.4,0.683,0.8,2.5,3.3,1.2,0.5,0.2,0.6,1.7,9.1,,2120693
DEN,Aaron Gordon,29,PF,51,42,28.4,5.2,9.7,0.531,1.5,3.4,0.436,3.7,6.4,0.582,0.607,2.8,3.5,0.81,1.6,3.3,4.8,3.2,0.5,0.3,1.4,1.6,14.7,,22841455
HOU,Aaron Holiday,28,PG,62,3,12.8,1.9,4.3,0.437,1.2,2.9,0.398,0.7,1.4,0.517,0.571,0.5,0.7,0.829,0.2,1,1.3,1.3,0.3,0.2,0.6,1,5.5,,4668000
IND,Aaron Nesmith,25,SF,45,37,25,4.3,8.4,0.507,1.9,4.3,0.431,2.4,4.1,0.587,0.617,1.6,1.8,0.913,0.8,3.1,4,1.2,0.8,0.4,0.8,2.5,12,,11000000
OKC,Aaron Wiggins,26,SG,76,26,22.9,4.7,9.6,0.488,1.7,4.5,0.383,3,5.1,0.578,0.577,1,1.2,0.831,1.1,2.8,3.9,1.8,0.8,0.2,0.9,1.3,12,,10514017
PHI,Adem Bona,21,C,58,11,15.6,2.3,3.3,0.703,0,0,0,2.3,3.3,0.707,0.703,1.2,1.7,0.67,1.6,2.6,4.2,0.5,0.4,1.2,1.1,2.2,5.8,,1157153
2TM,AJ Johnson,20,SG,29,11,22,2.8,7.3,0.385,0.8,3.1,0.267,2,4.2,0.472,0.441,1.1,1.3,0.865,0.3,1.8,2,2.6,0.4,0.1,1.2,1.7,7.6,,2795294
MIL,AJ Johnson,20,SG,7,0,6.3,1.1,2.7,0.421,0.4,0.7,0.6,0.7,2,0.357,0.5,0.1,0.3,0.5,0,1,1,1,0.1,0,0.6,0,2.9,,2795294
WAS,AJ Johnson,20,SG,22,11,27,3.4,8.8,0.381,1,3.9,0.247,2.4,5,0.486,0.436,1.4,1.6,0.886,0.4,2,2.4,3.1,0.5,0.1,1.4,2.3,9.1,,2795294
OKC,Ajay Mitchell,22,SG,36,1,16.6,2.5,5.1,0.495,0.6,1.7,0.383,1.9,3.4,0.548,0.557,0.8,1,0.829,0.5,1.4,1.9,1.8,0.7,0.1,0.8,1.9,6.5,,3000000
BOS,Al Horford,38,C,60,42,27.7,3.3,7.7,0.423,1.9,5.2,0.363,1.4,2.5,0.551,0.547,0.6,0.6,0.895,1.3,4.8,6.2,2.1,0.6,0.9,0.8,1.4,9,,9500000
MIA,Alec Burks,33,SG,49,14,17.6,2.3,5.5,0.424,1.8,4.2,0.425,0.6,1.3,0.422,0.587,0.8,1,0.776,0.3,2.2,2.5,1.1,0.6,0.1,0.6,0.8,7.3,,2087519
OKC,Alex Caruso,30,SG,54,3,19.3,2.6,5.8,0.446,1.1,3.1,0.353,1.5,2.7,0.556,0.541,0.8,0.9,0.824,0.7,2.2,2.9,2.5,1.6,0.6,0.7,1.9,7.1,6MOY-8,9890000
2TM,Alex Len,31,C,46,7,8.3,0.7,1.4,0.508,0,0.2,0.222,0.7,1.2,0.556,0.524,0.2,0.4,0.471,0.8,1.2,2.1,0.8,0.2,0.5,0.4,1.2,1.6,,743829
SAC,Alex Len,31,C,36,3,7.2,0.6,1.1,0.537,0,0.2,0.167,0.6,1,0.6,0.549,0.2,0.4,0.538,0.7,1.1,1.8,0.8,0.2,0.5,0.3,1,1.4,,743829
LAL,Alex Len,31,C,10,4,12.2,1,2.2,0.455,0.1,0.3,0.333,0.9,1.9,0.474,0.477,0.1,0.4,0.25,1.3,1.8,3.1,0.8,0.1,0.3,0.9,2.1,2.2,,743829
WAS,Alex Sarr,19,C,67,67,27.1,4.9,12.4,0.394,1.6,5.1,0.308,3.3,7.3,0.454,0.457,1.7,2.5,0.679,1.9,4.6,6.5,2.4,0.7,1.5,1.7,2.2,13,ROY-4,11245680
HOU,Alperen Şengün,22,C,76,76,31.5,7.5,15,0.496,0.3,1.2,0.233,7.2,13.9,0.519,0.505,3.9,5.6,0.692,3.4,6.9,10.3,4.9,1.1,0.8,2.6,2.8,19.1,AS,5424654
HOU,Amen Thompson,22,SF,69,42,32.2,5.6,10.1,0.557,0.4,1.3,0.275,5.3,8.8,0.599,0.575,2.4,3.6,0.684,2.8,5.4,8.2,3.8,1.4,1.3,2,2.4,14.1,"DPOY-5,DEF1",9249960
LAC,Amir Coffey,27,SG,72,13,24.3,3.3,7.1,0.471,1.4,3.4,0.409,1.9,3.7,0.529,0.57,1.6,1.8,0.891,0.4,1.8,2.2,1.1,0.6,0.1,0.6,1.7,9.7,,3938271
PHI,Andre Drummond,31,C,40,23,18.8,2.9,5.9,0.5,0.1,0.5,0.15,2.9,5.4,0.533,0.506,1.4,2.3,0.622,2.7,5,7.8,0.9,1,0.5,1.4,2.4,7.3,,5000000
MIL,Andre Jackson Jr.,23,SG,67,43,14.6,1.4,2.9,0.477,0.4,1.1,0.395,1,1.8,0.529,0.553,0.2,0.4,0.5,1,1.7,2.7,1.2,0.5,0.2,0.9,1.7,3.4,,1891857
IND,Andrew Nembhard,25,SG,65,65,28.9,3.8,8.3,0.458,0.8,2.7,0.291,3,5.6,0.538,0.506,1.7,2.1,0.794,0.5,2.8,3.3,5,1.2,0.2,1.7,2.3,10,,2019699
2TM,Andrew Wiggins,29,SF,60,60,30.7,6.3,14,0.448,2.2,5.8,0.374,4.1,8.2,0.501,0.526,3.3,4.3,0.763,1.5,3,4.5,2.6,1,0.8,1.7,1.7,18,,26276786
GSW,Andrew Wiggins,29,SF,43,43,30.1,6.1,13.7,0.444,2.2,5.8,0.379,3.9,7.9,0.491,0.524,3.2,4.2,0.777,1.5,3,4.6,2.4,0.9,0.8,1.3,1.6,17.6,,26276786
MIA,Andrew Wiggins,29,SF,17,17,32.1,6.8,14.8,0.458,2.1,5.9,0.36,4.6,8.9,0.523,0.53,3.4,4.6,0.731,1.4,2.9,4.2,3.3,1.2,1,2.5,1.8,19,,26276786
POR,Anfernee Simons,25,SG,70,70,32.7,6.8,16.1,0.426,3.1,8.5,0.363,3.8,7.6,0.496,0.521,2.5,2.8,0.902,0.4,2.3,2.7,4.8,0.9,0.1,2,1.7,19.3,,25892857
ORL,Anthony Black,21,PG,78,10,24.2,3.4,7.9,0.423,0.8,2.5,0.318,2.6,5.4,0.471,0.473,1.9,2.5,0.761,0.7,2.3,2.9,3.1,1.1,0.6,1.8,2.1,9.4,,7607760
2TM,Anthony Davis,31,C,51,51,33.5,9.2,17.8,0.516,0.7,2.4,0.282,8.5,15.4,0.553,0.536,5.6,7.2,0.775,2.6,8.9,11.6,3.5,1.2,2.2,2.2,1.9,24.7,AS,43219440
LAL,Anthony Davis,31,C,42,42,34.3,9.5,18,0.528,0.7,2.2,0.298,8.9,15.8,0.56,0.546,6,7.6,0.788,2.8,9,11.9,3.4,1.3,2.1,2.2,2,25.7,,43219440
DAL,Anthony Davis,31,PF,9,9,29.6,7.8,16.9,0.461,0.8,3.3,0.233,7,13.6,0.516,0.484,3.7,5.3,0.688,1.7,8.4,10.1,4.4,0.6,2.2,2.2,1.8,20,,43219440
MIN,Anthony Edwards,23,SG,79,79,36.3,9.1,20.4,0.447,4.1,10.3,0.395,5.1,10.1,0.501,0.547,5.3,6.3,0.837,0.8,4.9,5.7,4.5,1.2,0.6,3.2,1.9,27.6,"MVP-7,CPOY-3,AS,NBA2",42176400
WAS,Anthony Gill,32,PF,51,0,7.8,0.8,1.7,0.489,0.2,0.6,0.323,0.6,1.1,0.579,0.545,0.6,1,0.66,0.4,0.9,1.3,0.3,0.2,0,0.2,0.6,2.5,,2237691
NOP,Antonio Reeves,24,SG,44,6,15,2.6,5.6,0.456,1.2,2.9,0.395,1.4,2.7,0.521,0.558,0.6,0.8,0.8,0.4,1,1.4,0.9,0.5,0.1,0.7,0.9,6.9,,1157153
NYK,Ariel Hukporti,22,C,25,1,8.7,0.8,1.2,0.677,0,0,,0.8,1.2,0.677,0.677,0.2,0.5,0.462,0.6,1.5,2,0.4,0,0.6,0.8,1.3,1.9,,1064558
DET,Ausar Thompson,22,SF,59,48,22.5,4.2,7.8,0.535,0.2,0.8,0.224,4,7,0.572,0.547,1.5,2.4,0.641,1.9,3.3,5.1,2.3,1.7,0.7,1.4,2.8,10.1,,8376000
LAL,Austin Reaves,26,SG,73,73,34.9,6.5,14.2,0.46,2.7,7.3,0.377,3.8,6.9,0.547,0.556,4.4,5,0.877,0.8,3.7,4.5,5.8,1.1,0.3,2.4,2.1,20.2,,12976362
CHI,Ayo Dosunmu,25,SG,46,26,30.3,4.8,9.8,0.492,1.3,4.1,0.328,3.5,5.7,0.612,0.561,1.3,1.7,0.785,0.6,2.9,3.5,4.5,0.9,0.4,1.5,2.3,12.3,,7000000
MIA,Bam Adebayo,27,C,78,78,34.3,6.9,14.3,0.485,1,2.8,0.357,5.9,11.4,0.517,0.521,3.2,4.2,0.765,2.4,7.2,9.6,4.3,1.3,0.7,2.1,2.1,18.1,DPOY-10,34848340
BOS,Baylor Scheierman,24,SG,31,2,12.4,1.3,3.5,0.355,0.8,2.6,0.317,0.4,0.9,0.464,0.473,0.3,0.4,0.75,0.6,1.5,2.1,1.1,0.5,0.1,0.4,0.7,3.6,,2494320
IND,Ben Sheppard,23,SG,63,9,19.5,1.9,4.6,0.418,1.1,3.2,0.342,0.8,1.4,0.591,0.537,0.4,0.4,0.889,0.7,2.1,2.8,1.3,0.6,0.2,0.3,2,5.3,,2663880
2TM,Ben Simmons,28,PG,51,24,22,2.3,4.4,0.52,0,0,,2.3,4.4,0.52,0.52,0.5,0.6,0.727,0.9,3.8,4.7,5.6,0.7,0.5,2,2.1,5,,755826
BRK,Ben Simmons,28,PG,33,24,25,2.8,5.2,0.547,0,0,,2.8,5.2,0.547,0.547,0.5,0.8,0.692,0.9,4.3,5.2,6.9,0.8,0.5,2.7,2.5,6.2,,755826
LAC,Ben Simmons,28,PG,18,0,16.4,1.3,2.9,0.434,0,0,,1.3,2.9,0.434,0.434,0.3,0.4,0.857,0.9,2.9,3.8,3.1,0.7,0.4,0.8,1.4,2.9,,755826
IND,Bennedict Mathurin,22,SF,72,49,29.8,5.4,11.8,0.458,1.4,4,0.34,4.1,7.8,0.519,0.516,3.8,4.6,0.831,1.2,4.1,5.3,1.9,0.7,0.3,1.9,2.3,16.1,,7245720
WAS,Bilal Coulibaly,20,SF,59,59,33,4.5,10.6,0.421,1.1,3.8,0.281,3.4,6.8,0.5,0.472,2.3,3.1,0.746,1.5,3.4,5,3.4,1.3,0.7,2.1,2.4,12.3,,6945240
SAS,Bismack Biyombo,32,C,28,26,18.9,2.4,4.1,0.588,0,0,,2.4,4.1,0.588,0.588,0.4,0.9,0.4,1.5,4.1,5.6,1.1,0.6,0.8,1,1.9,5.1,,503884
SAS,Blake Wesley,21,SG,58,0,11.8,1.4,3.2,0.435,0.3,1,0.293,1.1,2.2,0.5,0.481,0.7,1.1,0.623,0.3,0.8,1.1,2,0.6,0.1,0.9,0.8,3.7,,2624280
MIL,Bobby Portis,29,PF,49,7,25.4,5.7,12.1,0.466,1.3,3.6,0.365,4.3,8.5,0.508,0.52,1.2,1.5,0.836,1.8,6.6,8.4,2.1,0.7,0.5,1.2,1.9,13.9,,12578286
DET,Bobi Klintman,21,SF,8,0,5.3,0.8,1.3,0.6,0.3,0.6,0.4,0.5,0.6,0.8,0.7,0.1,0.3,0.5,0.1,0.8,0.9,0.9,0.3,0.1,0.1,1,1.9,,1257153
2TM,Bogdan Bogdanović,32,SG,54,4,25,3.9,9.1,0.427,1.9,5.4,0.363,1.9,3.8,0.517,0.534,1.1,1.2,0.879,0.4,2.5,2.9,2.7,0.8,0.2,1.4,2.4,10.8,,17260000
ATL,Bogdan Bogdanović,32,SG,24,0,24.9,3.5,9.3,0.371,1.8,6.1,0.301,1.6,3.3,0.5,0.469,1.3,1.4,0.882,0.5,2.3,2.8,2,0.8,0.3,1.5,2.4,10,,17260000
LAC,Bogdan Bogdanović,32,SG,30,4,25,4.2,8.9,0.474,2,4.8,0.427,2.2,4.2,0.528,0.588,0.9,1.1,0.875,0.4,2.7,3.1,3.2,0.7,0.2,1.2,2.3,11.4,,17260000
PHO,Bol Bol,25,PF,36,10,12.4,2.7,5.1,0.525,0.9,2.6,0.344,1.8,2.5,0.711,0.612,0.6,0.7,0.769,0.6,2.3,2.9,0.6,0.3,0.7,0.6,0.6,6.8,,2087519
2TM,Bones Hyland,24,PG,24,0,10,2,4.9,0.398,1.3,3.4,0.39,0.6,1.5,0.417,0.534,1,1.1,0.885,0.2,0.8,1,1.3,0.8,0.2,1,1.2,6.2,,4158439
LAC,Bones Hyland,24,PG,20,0,11.1,2.3,5.8,0.391,1.6,4,0.388,0.7,1.8,0.4,0.526,1.2,1.3,0.885,0.3,1,1.2,1.4,0.9,0.2,1.2,1.3,7.2,,4158439
MIN,Bones Hyland,24,PG,4,0,4.3,0.5,0.8,0.667,0.3,0.5,0.5,0.3,0.3,1,0.833,0,0,,0,0.3,0.3,1,0,0,0.3,0.8,1.3,,4158439
PHO,Bradley Beal,31,SG,53,38,32.1,6.5,13.1,0.497,1.9,5,0.386,4.6,8.1,0.565,0.571,2.1,2.6,0.803,0.6,2.7,3.3,3.7,1.1,0.5,1.9,2.6,17,,50203930
OKC,Branden Carlson,25,C,32,0,7.7,1.3,3,0.443,0.7,2.1,0.333,0.7,1,0.677,0.557,0.4,0.6,0.778,0.5,1.2,1.7,0.4,0.2,0.7,0.2,0.7,3.8,,990895
GSW,Brandin Podziemski,21,SG,64,33,26.8,4.4,9.8,0.445,1.8,4.8,0.372,2.6,5,0.516,0.537,1.1,1.5,0.758,1,4.1,5.1,3.4,1.1,0.2,1.2,1.5,11.7,,3519960
NOP,Brandon Boston Jr.,23,SG,42,10,23.6,4,9.1,0.436,1.2,3.3,0.35,2.8,5.7,0.485,0.5,1.6,2,0.788,0.7,2.5,3.2,2.2,1.3,0.2,1.2,1.7,10.7,,596581
MEM,Brandon Clarke,28,PF,64,18,18.9,3.7,5.9,0.621,0,0.3,0.059,3.7,5.7,0.647,0.622,1,1.4,0.701,2,3.1,5.1,1,0.8,0.6,0.6,2.3,8.3,,12500000
NOP,Brandon Ingram,27,SF,18,18,33.1,8.6,18.5,0.465,2.4,6.4,0.374,6.2,12.1,0.514,0.53,2.6,3.1,0.855,0.9,4.6,5.6,5.2,0.9,0.6,3.8,2.5,22.2,,36016200
CHO,Brandon Miller,22,SF,27,27,34.2,7.3,18.2,0.403,3.9,10.9,0.355,3.5,7.3,0.475,0.509,2.5,2.9,0.861,0.9,3.9,4.9,3.6,1.1,0.7,2.8,2.7,21,,11424600
UTA,Brice Sensabaugh,21,SF,71,15,20.2,3.9,8.4,0.459,2.2,5.2,0.422,1.7,3.2,0.52,0.59,0.9,1,0.89,0.6,2.4,3,1.5,0.6,0.1,1.5,1.6,10.9,,2571480
LAL,Bronny James,20,SG,27,1,6.7,0.8,2.5,0.313,0.3,1.2,0.281,0.4,1.3,0.343,0.381,0.4,0.5,0.786,0.1,0.5,0.7,0.8,0.3,0.1,0.5,0.5,2.3,,1157153
MIL,Brook Lopez,36,C,80,80,31.8,4.9,9.7,0.509,1.7,4.7,0.373,3.2,5,0.636,0.599,1.4,1.7,0.826,1.4,3.6,5,1.8,0.6,1.9,1.1,2.1,13,,23000000
2TM,Bruce Brown,28,PG,41,12,22.5,3.2,7.5,0.421,0.7,2,0.333,2.5,5.6,0.452,0.464,1.3,1.6,0.815,1,3,4,2,0.8,0.2,1,1.7,8.3,,23000000
TOR,Bruce Brown,28,PG,18,0,19.6,3.2,7.3,0.435,0.6,2,0.306,2.6,5.3,0.484,0.477,1.4,1.6,0.897,0.9,2.8,3.8,1.6,0.9,0.2,1.1,1.4,8.4,,23000000
NOP,Bruce Brown,28,PG,23,12,24.7,3.2,7.7,0.41,0.7,2,0.356,2.5,5.8,0.429,0.455,1.2,1.6,0.75,1,3.2,4.2,2.4,0.7,0.3,0.9,2,8.2,,23000000
TOR,Bruno Fernando,26,C,17,2,8.6,1.5,2.9,0.531,0,0,,1.5,2.9,0.531,0.531,0.4,0.5,0.75,1.2,1.8,3,1.1,0.2,0.5,0.8,1.6,3.4,,2087519
POR,Bryce McGowens,22,SG,13,0,2.5,0.3,1.1,0.286,0,0.3,0,0.3,0.8,0.4,0.286,0.4,0.5,0.833,0.2,0.1,0.2,0.2,0.1,0,0.3,0.2,1,,2019699
WAS,Bub Carrington,19,PG,82,57,30,3.7,9.1,0.401,1.7,5,0.339,2,4.2,0.475,0.493,0.8,1,0.812,0.4,3.8,4.2,4.4,0.7,0.3,1.7,2.3,9.8,,4454880
GSW,Buddy Hield,32,SG,82,22,22.7,4,9.6,0.417,2.5,6.7,0.37,1.5,2.9,0.527,0.546,0.6,0.8,0.828,0.6,2.6,3.2,1.6,0.8,0.3,1.1,1.6,11.1,,8780488
DET,Cade Cunningham,23,PG,70,70,35,9.8,20.8,0.469,2.1,6,0.356,7.6,14.8,0.515,0.521,4.5,5.3,0.846,0.8,5.3,6.1,9.1,1,0.8,4.4,2.8,26.1,"MVP-7,AS,NBA3",13940658
ORL,Caleb Houstan,22,SF,58,6,13.6,1.4,3.3,0.421,1.1,2.8,0.4,0.3,0.5,0.533,0.589,0.3,0.3,0.882,0.3,1,1.3,0.6,0.4,0.1,0.2,1.1,4.1,,2019693
2TM,Caleb Martin,29,SF,45,24,27.1,2.9,6.8,0.424,0.8,2.3,0.359,2,4.5,0.458,0.485,1.4,2.2,0.622,1.2,2.8,3.9,2.1,1,0.5,1.2,1.9,7.9,,8149001
PHI,Caleb Martin,29,SF,31,24,30.4,3.3,7.5,0.435,1.1,2.8,0.379,2.2,4.7,0.469,0.506,1.5,2.4,0.622,1.4,3,4.4,2.2,1.1,0.6,1.4,2,9.1,,8149001
DAL,Caleb Martin,29,SF,14,0,19.6,2,5.1,0.389,0.3,1.1,0.25,1.7,4,0.429,0.417,1.1,1.7,0.625,0.7,2.2,2.9,1.9,0.9,0.2,0.9,1.7,5.4,,8149001
LAC,Cam Christie,19,SG,13,0,4.5,0.5,1.8,0.292,0.2,1,0.154,0.4,0.8,0.455,0.333,0.2,0.3,0.5,0.2,0.7,0.9,0.5,0.4,0.1,0.2,0.3,1.4,,1157153
LAL,Cam Reddish,25,SF,33,8,17.8,1.2,2.8,0.404,0.4,1.4,0.277,0.8,1.4,0.532,0.473,0.5,0.8,0.615,0.5,1.5,2,0.7,1,0.3,0.4,1.3,3.2,,2463946
BRK,Cam Thomas,23,SG,25,23,31.2,8,18.2,0.438,2.7,7.8,0.349,5.2,10.4,0.506,0.513,5.3,6,0.881,0.6,2.7,3.3,3.8,0.6,0.1,2.5,1.8,24,,4041249
HOU,Cam Whitmore,20,SF,51,3,16.2,3.5,7.9,0.444,1.3,3.6,0.355,2.2,4.3,0.518,0.525,1.1,1.4,0.75,0.7,2.3,3,1,0.6,0.3,0.9,0.9,9.4,,3379080
BRK,Cameron Johnson,28,PF,57,57,31.6,6.2,13.1,0.475,2.8,7.2,0.39,3.4,5.9,0.578,0.582,3.5,3.9,0.893,0.9,3.4,4.3,3.4,0.9,0.4,1.7,1.8,18.8,,22500000
NYK,Cameron Payne,30,PG,72,5,15.1,2.5,6.2,0.401,1.3,3.6,0.363,1.2,2.6,0.453,0.506,0.7,0.8,0.907,0.2,1.3,1.4,2.8,0.5,0.2,0.7,1.5,6.9,,2087519
2TM,Caris LeVert,30,SG,64,3,24.9,4.4,9.4,0.467,1.7,4.4,0.373,2.7,4.9,0.552,0.556,1.7,2.4,0.71,0.6,2.5,3.2,3.4,0.9,0.5,1.2,1.5,12.1,,16615384
CLE,Caris LeVert,30,SF,38,3,23.8,3.6,7.8,0.453,1.6,3.9,0.405,2,3.9,0.5,0.554,1.5,2.2,0.699,0.6,2.2,2.8,3.7,0.9,0.5,1.3,1.3,10.2,,16615384
ATL,Caris LeVert,30,SG,26,0,26.6,5.6,11.6,0.482,1.8,5.2,0.338,3.8,6.3,0.6,0.558,2,2.8,0.722,0.7,3,3.7,2.9,0.9,0.5,1,2,14.9,,16615384
OKC,Cason Wallace,21,SG,68,43,27.6,3.4,7.2,0.474,1.1,3.1,0.356,2.3,4.1,0.562,0.55,0.4,0.5,0.811,1,2.3,3.4,2.5,1.8,0.5,0.9,2.1,8.4,,5555880
SAS,Charles Bassey,24,C,36,1,10.4,1.9,3.3,0.581,0,0,,1.9,3.3,0.581,0.581,0.6,0.9,0.636,1.6,2.7,4.2,0.5,0.4,0.8,0.6,1.4,4.4,,2087519
OKC,Chet Holmgren,22,C,32,32,27.4,5.2,10.7,0.49,1.4,3.6,0.379,3.8,7,0.547,0.554,3.2,4.2,0.754,1.5,6.5,8,2,0.7,2.2,1.8,2.3,15,,10880640
TOR,Chris Boucher,32,PF,50,0,17.2,3.6,7.4,0.492,1.4,3.9,0.363,2.2,3.5,0.633,0.586,1.4,1.7,0.782,1.4,3.1,4.5,0.7,0.5,0.5,0.6,1.4,10,,10810000
CHI,Chris Duarte,27,SG,17,0,4.4,0.7,1.5,0.462,0.4,0.9,0.4,0.4,0.6,0.545,0.577,0.4,0.5,0.75,0.3,0.9,1.2,0.5,0,0,0.1,0.4,2.1,,5893768
MIL,Chris Livingston,21,SF,21,1,5,0.4,1.3,0.333,0,0.4,0,0.4,0.9,0.474,0.333,0.6,0.8,0.75,0.5,1.2,1.7,0.2,0.2,0,0.3,0.4,1.4,,1891857
SAS,Chris Paul,39,PG,82,82,28,3,7.1,0.427,1.7,4.5,0.377,1.3,2.6,0.514,0.547,1,1.1,0.924,0.4,3.2,3.6,7.4,1.3,0.3,1.6,1.8,8.8,,10460000
DEN,Christian Braun,23,SG,79,77,33.9,6,10.4,0.58,1.1,2.8,0.397,4.9,7.6,0.648,0.634,2.2,2.7,0.827,1.2,3.9,5.2,2.6,1.1,0.5,1,2.2,15.4,,3089640
NOP,CJ McCollum,33,PG,56,56,32.7,7.9,17.9,0.444,3.1,8.2,0.373,4.9,9.7,0.505,0.53,2.2,3.1,0.717,0.8,3,3.8,4.1,0.8,0.4,1.9,2.2,21.1,,33333333
ATL,Clint Capela,30,C,55,41,21.4,4,7.1,0.559,0,0,0,4,7.1,0.56,0.559,0.9,1.8,0.536,3.2,5.4,8.5,1.1,0.6,1,0.9,1.9,8.9,,22265280
CHI,Coby White,24,SG,74,73,33.1,6.9,15.1,0.453,2.9,7.9,0.37,3.9,7.3,0.544,0.55,3.7,4.1,0.902,0.3,3.4,3.7,4.5,0.9,0.2,2.4,2.1,20.4,,12000000
2TM,Cody Martin,29,SF,53,8,22.1,2.6,6.1,0.418,0.8,2.8,0.285,1.8,3.3,0.534,0.485,0.8,1.2,0.705,1,3.2,4.2,2,1.1,0.6,1,1.8,6.8,,8120000
CHO,Cody Martin,29,SF,39,8,24.8,3,6.9,0.433,1,3.2,0.323,1.9,3.7,0.528,0.507,0.9,1.3,0.694,1,3.5,4.5,2.3,1.1,0.7,1.1,1.8,7.8,,8120000
PHO,Cody Martin,29,SF,14,0,14.7,1.4,4.1,0.351,0.2,1.9,0.111,1.2,2.1,0.567,0.377,0.6,0.9,0.75,0.9,2.5,3.4,1.1,0.9,0.4,0.6,1.6,3.7,,8120000
UTA,Cody Williams,20,SG,50,21,21.2,1.7,5.1,0.323,0.7,2.7,0.259,1,2.4,0.393,0.391,0.6,0.8,0.725,0.5,1.7,2.3,1.2,0.5,0.3,0.9,1.9,4.6,,5485080
2TM,Colby Jones,22,SG,39,0,13.2,1.5,3.3,0.457,0.4,1.3,0.327,1.1,2.1,0.538,0.519,0.6,0.9,0.657,0.5,1.7,2.2,1.1,0.7,0.3,0.6,0.9,4,,2120693
SAC,Colby Jones,22,SG,24,0,5.4,0.5,1.1,0.423,0.2,0.4,0.4,0.3,0.7,0.438,0.5,0,0,,0.3,0.6,1,0.3,0.3,0.3,0.3,0.5,1.1,,2120693
WAS,Colby Jones,22,SG,15,0,25.7,3.2,6.9,0.466,0.8,2.6,0.308,2.4,4.3,0.563,0.524,1.5,2.3,0.657,0.9,3.4,4.3,2.5,1.3,0.4,1.1,1.6,8.7,,2120693
ORL,Cole Anthony,24,PG,67,22,18.4,3.4,8.1,0.424,1.1,3.3,0.353,2.3,4.9,0.471,0.494,1.4,1.7,0.823,0.7,2.4,3,2.9,0.7,0.5,1.5,2.3,9.4,,12900000
UTA,Collin Sexton,26,SG,63,61,27.9,6.6,13.8,0.48,1.7,4.3,0.406,4.9,9.5,0.513,0.543,3.4,4,0.865,1,1.8,2.7,4.2,0.7,0.1,2.5,2.3,18.4,,18350000
WAS,Corey Kispert,25,SF,61,0,26.3,4.2,9.3,0.451,2,5.4,0.364,2.2,3.9,0.574,0.558,1.2,1.4,0.852,0.6,2.4,3,1.7,0.4,0.2,1,1.6,11.6,,5705888
ORL,Cory Joseph,33,PG,50,16,12.2,1.2,3.1,0.403,0.8,2.1,0.364,0.5,0.9,0.489,0.529,0.3,0.4,0.778,0.3,1.1,1.5,1.4,0.5,0.1,0.4,1,3.5,,3303771
CLE,Craig Porter Jr.,24,PG,51,1,10.1,1.4,2.7,0.514,0.4,0.9,0.438,1,1.8,0.554,0.589,0.5,0.6,0.719,0.4,0.9,1.3,1.4,0.3,0.3,0.7,0.5,3.7,,1891857
2TM,D'Angelo Russell,28,PG,58,36,25.5,4.3,11,0.39,1.9,6.2,0.314,2.3,4.8,0.489,0.479,2.1,2.5,0.834,0.3,2.4,2.8,5.1,1,0.4,1.9,2,12.6,,18692307
LAL,D'Angelo Russell,28,PG,29,10,26.3,4.4,10.7,0.415,1.9,5.8,0.333,2.5,4.9,0.51,0.505,1.6,1.8,0.849,0.3,2.5,2.8,4.7,0.8,0.1,1.7,1.8,12.4,,18692307
BRK,D'Angelo Russell,28,PG,29,26,24.7,4.1,11.3,0.367,2,6.6,0.297,2.2,4.7,0.467,0.454,2.6,3.2,0.826,0.4,2.4,2.8,5.6,1.1,0.7,2,2.1,12.9,,18692307
POR,Dalano Banton,25,PG,67,7,16.7,3,7.6,0.391,1.1,3.3,0.324,1.9,4.3,0.442,0.462,1.4,1.9,0.728,0.4,1.6,2,2.4,0.6,0.5,1.3,0.9,8.3,,2196970
CHI,Dalen Terry,22,SG,73,5,13.5,1.6,3.7,0.448,0.5,1.4,0.356,1.1,2.2,0.506,0.517,0.7,0.9,0.71,0.5,1.2,1.7,1.3,0.6,0.2,0.7,1.6,4.5,,3510480
LAL,Dalton Knecht,23,SF,78,16,19.2,3.3,7.1,0.461,1.6,4.4,0.376,1.7,2.8,0.594,0.576,0.8,1.1,0.762,0.5,2.3,2.8,0.8,0.3,0.1,0.5,1.2,9.1,,3819120
MIL,Damian Lillard,34,PG,58,58,36.1,7.7,17.1,0.448,3.4,9,0.376,4.3,8.1,0.528,0.547,6.2,6.8,0.921,0.5,4.2,4.7,7.1,1.2,0.2,2.8,1.7,24.9,AS,48787676
PHO,Damion Lee,32,SG,25,0,5.8,1.1,3,0.365,0.4,1.5,0.243,0.7,1.5,0.486,0.426,0.8,0.8,0.952,0.1,0.7,0.8,0.4,0.2,0,0.4,0.2,3.3,,2087519
DAL,Daniel Gafford,26,C,57,31,21.5,5,7.1,0.702,0,0,,5,7.1,0.702,0.702,2.4,3.4,0.689,2.7,4.1,6.8,1.4,0.4,1.8,1.2,2.7,12.3,,13394160
